date onsite illness,case,case linked to Huanan market
12/8/19,1,0
12/10/19,1,0
12/13/19,1,1
12/15/19,2,0
12/16/19,1,0
12/17/19,1,1
12/19/19,2,2
12/20/19,4,3
12/21/19,4,3
12/22/19,3,2
12/23/19,4,3
12/25/19,4,2
12/26/19,1,1
12/27/19,3,2
12/28/19,2,1
12/29/19,6,2
12/30/19,5,2
12/31/19,2,1
1/1/20,10,4
1/2/20,7,1
1/3/20,13,2
1/4/20,13,1
1/5/20,15,1
1/6/20,19,2
1/7/20,31,4
1/8/20,44,1
1/9/20,32,1
1/10/20,33,2
1/11/20,33,0
1/12/20,30,4
1/13/20,22,1
1/14/20,23,0
1/15/20,23,0
1/16/20,13,0
1/17/20,6,0
1/18/20,6,0
1/19/20,2,0
1/20/20,3,0
1/21/20,2,0
